name,pnd_true,pnd_false
"Santa Cruz County, CA",368,276
"Yolo County, CA",265,173
"Butte County, CA",537,403
"El Dorado County, CA",716,574
"Shasta County, CA",656,459
"Imperial County, CA",235,147
"Madera County, CA",714,496
"Kings County, CA",303,191
"Napa County, CA",339,276
"Humboldt County, CA",416,402
"Nevada County, CA",416,317
"Sutter County, CA",141,117
"Mendocino County, CA",359,296
"Yuba County, CA",250,185
"Lake County, CA",448,361
"Tehama County, CA",274,199
"San Benito County, CA",115,83
"Tuolumne County, CA",424,337
"Calaveras County, CA",428,335
"Siskiyou County, CA",220,185
"Amador County, CA",225,199
"Lassen County, CA",133,117
"Glenn County, CA",58,42
"Del Norte County, CA",99,97
"Colusa County, CA",37,26
"Plumas County, CA",152,122
"Inyo County, CA",35,26
"Mariposa County, CA",135,113
"Trinity County, CA",143,132
"Mono County, CA",44,34
"Modoc County, CA",55,50
"Sierra County, CA",22,19
"Alamosa County, CO",43,35
"Arapahoe County, CO",1147,996
"Archuleta County, CO",145,122
"Kit Carson County, CO",30,26
"El Paso County, CO",1985,1456
"Denver County, CO",1191,1075
"Jefferson County, CO",833,702
"Adams County, CO",841,714
"Douglas County, CO",909,749
"Larimer County, CO",716,660
"Weld County, CO",825,745
"Boulder County, CO",618,572
"Pueblo County, CO",843,719
"Mesa County, CO",585,361
"Broomfield County, CO",124,104
"Garfield County, CO",157,109
"Eagle County, CO",136,108
"La Plata County, CO",172,144
"Fremont County, CO",291,231
"Montrose County, CO",173,133
"Delta County, CO",180,144
"Summit County, CO",150,120
"Morgan County, CO",95,91
"Elbert County, CO",122,103
"Montezuma County, CO",113,90
"Routt County, CO",104,71
"Teller County, CO",207,159
"Logan County, CO",76,68
"Chaffee County, CO",89,87
"Otero County, CO",97,87
"Pitkin County, CO",160,131
"Park County, CO",251,225
"Gunnison County, CO",107,94
"Grand County, CO",134,108
"Las Animas County, CO",136,120
"Moffat County, CO",77,56
"Prowers County, CO",35,32
"Rio Grande County, CO",73,67
"Yuma County, CO",37,31
"Clear Creek County, CO",35,35
"San Miguel County, CO",98,81
"Conejos County, CO",20,18
"Lake County, CO",32,27
"Huerfano County, CO",117,107
"Rio Blanco County, CO",21,16
"Saguache County, CO",53,48
"Crowley County, CO",19,15
"Bent County, CO",26,22
"Gilpin County, CO",20,19
"Lincoln County, CO",15,12
"Ouray County, CO",58,49
"Washington County, CO",26,26
"Custer County, CO",126,115
"Phillips County, CO",28,24
"Baca County, CO",11,11
"Costilla County, CO",49,44
"Sedgwick County, CO",14,12
"Dolores County, CO",15,13
"Hinsdale County, CO",22,21
"Mineral County, CO",12,9
"New Haven County, CT",787,461
"Hartford County, CT",722,313
"Fairfield County, CT",1022,585
"New London County, CT",318,183
"Litchfield County, CT",312,213
"Middlesex County, CT",226,138
"Tolland County, CT",145,65
"Windham County, CT",156,92
"New Castle County, DE",682,321
"Sussex County, DE",1181,789
"Kent County, DE",459,280
"Alachua County, FL",851,592
"Calhoun County, FL",35,30
"Duval County, FL",3710,3162
"Lee County, FL",8410,7022
"Polk County, FL",4087,3223
"Broward County, FL",6066,5209
"Orange County, FL",3791,2611
"Pinellas County, FL",4702,3492
"Miami-Dade County, FL",5692,4716
"Palm Beach County, FL",6471,5673
"Hillsborough County, FL",5020,3469
"Brevard County, FL",3176,2365
"Pasco County, FL",3182,2291
"Volusia County, FL",3723,2856
"Seminole County, FL",1322,880
"Sarasota County, FL",4891,3884
"Manatee County, FL",2968,2363
"Osceola County, FL",2486,2038
"Lake County, FL",2272,1679
"Collier County, FL",3801,3235
"Marion County, FL",2945,2331
"Escambia County, FL",1550,1188
"Saint Lucie County, FL",2262,2040
"Leon County, FL",678,468
"Saint Johns County, FL",1783,1615
"De Soto County, FL",158,134
"Clay County, FL",892,777
"Okaloosa County, FL",1210,931
"Hernando County, FL",1439,1012
"Charlotte County, FL",3207,2784
"Santa Rosa County, FL",1055,777
